2018-03-08 08:54:49 INFO  root:20 - recording transaction
2018-03-08 09:21:46 INFO  root:20 - DEPOSITED 5000 ON 5000
2018-03-08 09:22:07 INFO  root:20 - WITHDREW 2000 FROM 2000
2018-03-08 22:20:34 INFO  root:20 - DEPOSITED 5000 ON 80000000
2018-03-08 22:22:04 INFO  root:20 - WITHDREW 5000 FROM 80000000
2018-03-08 22:22:04 INFO  root:20 - DEPOSITED 5000 ON 80000001
2018-03-08 22:22:04 INFO  root:20 - TRANSFERED5000 FROM 80000000 TO 80000001
2018-03-08 23:03:42 INFO  root:20 - DEPOSITED 400 ON 80000000
2018-03-08 23:05:11 INFO  root:20 - WITHDREW 200 FROM 80000000
2018-03-08 23:05:11 INFO  root:20 - DEPOSITED 200 ON 80000001
2018-03-08 23:05:11 INFO  root:20 - TRANSFERED200 FROM 80000000 TO 80000001
2018-03-08 23:18:38 INFO  root:20 - DEPOSITED 5000 ON 80000000
2018-03-08 23:29:33 INFO  root:20 - DEPOSITED 5000 ON 80000000
2018-03-08 23:43:29 INFO  root:20 - DEPOSITED 5000 ON 80000000
2018-03-08 23:55:59 INFO  root:20 - DEPOSITED 4000 ON 80000000
2018-03-08 23:56:15 INFO  root:20 - WITHDREW 2000 FROM 80000000
2018-03-09 09:48:22 INFO  root:20 - DEPOSITED 5000 ON 80000000
